credit_risk,age,amount,credit_history,duration,employment_duration,personal_status_sex,purpose
good,67,1169,all credits at this bank paid back duly,6,>= 7 yrs,male : married/widowed,furniture/equipment
bad,22,5951,no credits taken/all credits paid back duly,48,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,49,2096,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,male : married/widowed,repairs
good,45,7882,no credits taken/all credits paid back duly,42,4 <= ... < 7 yrs,male : married/widowed,car (used)
bad,53,4870,existing credits paid back duly till now,24,1 <= ... < 4 yrs,male : married/widowed,others
good,35,9055,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,repairs
good,53,2835,no credits taken/all credits paid back duly,24,>= 7 yrs,male : married/widowed,car (used)
good,35,6948,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,car (new)
good,61,3059,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,male : divorced/separated,furniture/equipment
bad,28,5234,all credits at this bank paid back duly,30,unemployed,female : single,others
bad,25,1295,no credits taken/all credits paid back duly,12,< 1 yr,female : non-single or male : single,others
bad,24,4308,no credits taken/all credits paid back duly,48,< 1 yr,female : non-single or male : single,retraining
good,22,1567,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
bad,60,1199,all credits at this bank paid back duly,24,>= 7 yrs,male : married/widowed,others
good,28,1403,no credits taken/all credits paid back duly,15,1 <= ... < 4 yrs,female : non-single or male : single,others
bad,32,1282,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,53,2424,all credits at this bank paid back duly,24,>= 7 yrs,male : married/widowed,furniture/equipment
good,25,8072,delay in paying off in the past,30,< 1 yr,male : married/widowed,retraining
bad,44,12579,no credits taken/all credits paid back duly,24,>= 7 yrs,female : non-single or male : single,car (new)
good,31,3430,no credits taken/all credits paid back duly,24,>= 7 yrs,male : married/widowed,furniture/equipment
good,48,2134,all credits at this bank paid back duly,9,1 <= ... < 4 yrs,male : married/widowed,others
good,44,2647,no credits taken/all credits paid back duly,6,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,48,2241,all credits at this bank paid back duly,10,< 1 yr,male : married/widowed,others
good,44,1804,all credits at this bank paid back duly,12,< 1 yr,male : married/widowed,car (new)
good,26,2069,all credits at this bank paid back duly,10,1 <= ... < 4 yrs,female : single,car (used)
